Amplitude1,PhaseShift1,Omega1,Beta1,Amplitude2,PhaseShift2,Omega2,Beta2,Buckling,Stiffness
-15.468,63.951,1.244,20.370,180.147,-24.293,1.242,81.666,17051.000,4229413.888
192.032,57.670,0.131,32.874,-24.107,66.814,1.349,41.342,17570.000,11586432.000
-15.787,71.300,1.250,21.960,8.423,29.420,1.758,24.275,14944.900,7129481.728
-59.575,36.769,0.722,34.030,192.819,80.674,0.125,13.361,24258.300,7191347.712
-31.694,10.216,0.403,39.450,-175.702,49.160,1.198,80.390,20888.600,7531470.336
-40.328,-44.553,0.711,8.419,71.810,10.063,0.187,3.950,11186.200,2864940.032
10.459,-84.151,1.724,-31.303,115.524,-45.257,0.421,10.666,-19158.800,8638566.400
-27.820,8.426,1.472,-48.588,35.827,-26.003,0.185,-62.379,-19955.000,10698514.432
39.958,81.467,0.837,29.081,-7.373,34.106,1.651,-5.406,14590.200,4729091.584
-13.412,36.687,1.449,27.743,145.867,67.519,0.494,-82.034,19855.400,5588705.280
-7.822,32.065,0.768,14.518,6.082,1.349,1.270,-31.618,-15552.200,7353042.432
83.844,-49.508,1.015,57.716,74.370,-49.897,1.256,-64.673,22492.000,9696333.824
15.539,17.087,1.063,53.366,-41.636,-7.694,0.812,-28.411,27951.900,9641822.208
93.612,33.451,0.032,-64.843,-15.431,-58.893,1.725,42.173,-29393.200,10195262.464
168.739,-64.953,1.895,78.371,-102.064,-14.058,0.049,-3.881,31050.200,2929811.456
-116.895,45.453,0.387,73.513,-14.460,73.807,1.627,37.260,32652.200,8221019.648
126.280,-69.523,0.086,-70.435,-39.860,0.266,0.098,8.927,-32910.600,4193853.952
86.448,88.954,0.432,-54.906,-68.495,81.311,0.484,16.345,-31721.100,9269957.632
-5.571,32.456,0.115,-27.812,93.025,-16.631,0.270,-52.613,-16382.700,10863480.832
-48.764,-39.406,0.127,-44.025,-108.385,-5.255,0.704,-87.203,-21938.600,7196146.176
-72.149,76.692,0.583,24.343,-20.260,77.933,0.372,-52.826,20986.100,11191322.624
133.778,37.684,0.301,24.487,-13.233,89.331,0.801,-89.076,18049.000,3968820.480
-99.816,-54.856,1.021,61.202,-13.108,-71.289,1.445,26.628,31895.600,8603681.792
26.800,-85.712,1.735,-52.676,-121.909,77.783,0.124,81.466,-23090.900,7101220.352
174.592,6.003,0.179,-26.486,-161.490,-66.908,0.127,-33.180,-14127.000,8387051.520
-111.907,37.383,0.366,-47.961,-36.841,24.006,0.222,5.332,-25644.200,7026661.888
-58.488,26.073,1.330,-61.777,-163.530,41.386,0.180,37.434,-29691.600,10236772.352
-13.558,-31.742,1.293,17.501,-69.876,-58.200,1.518,64.724,16766.700,6975052.800
154.525,66.715,0.380,57.338,8.045,-62.576,0.794,32.669,24702.700,11337308.160
-12.955,-88.306,1.666,34.980,-52.675,-74.927,0.445,-71.683,22020.800,7970232.320
-76.794,59.224,1.121,85.737,7.083,-71.575,1.905,-23.733,36776.600,4548961.792
-60.091,-14.822,1.799,88.522,-14.154,38.538,1.671,-37.999,-35837.200,6493906.432
24.491,77.081,0.640,-21.717,5.829,-33.483,1.970,-16.995,-16568.300,6398755.840
-112.586,18.064,0.409,-19.627,-3.151,-40.255,0.678,88.971,-16201.700,2883220.992
-148.105,-62.175,0.836,-74.079,-4.971,-5.763,1.998,-1.498,-31546.100,3266007.552
107.137,-5.499,1.256,-66.895,77.782,60.701,1.573,89.496,-23389.800,4665848.832
8.353,46.275,1.730,-21.831,-100.852,35.677,1.196,85.545,-18448.200,4359531.008
12.613,38.339,1.084,42.379,-10.276,-57.366,1.393,3.390,23388.800,7239321.600
12.530,-11.977,1.659,34.117,102.210,14.175,0.042,79.295,20135.200,6806978.048
-138.553,66.566,0.071,-63.074,-32.861,-39.828,0.797,-11.458,-32729.300,6103644.672
-6.237,-38.883,1.891,-15.362,-109.563,58.452,0.207,25.799,-15039.600,6499635.712
148.698,-87.036,0.349,34.442,-11.363,32.326,1.662,-31.680,25036.800,11167599.616
0.386,20.442,0.057,58.540,111.771,37.732,1.673,-83.278,22667.900,6286585.856
-26.952,-3.468,0.138,63.902,-14.526,-35.708,1.575,-35.659,30897.400,9935220.736
18.988,-63.791,1.901,87.289,-38.426,-25.211,1.859,61.032,27026.800,5442441.728
27.030,48.281,0.110,-84.737,-20.592,82.907,0.985,4.104,-29694.700,2126263.936
147.747,72.335,0.630,-82.211,-192.329,-65.528,0.983,-81.374,-22577.500,2459876.864
-25.759,13.162,0.924,60.118,11.175,-80.831,1.658,-30.940,31852.300,9706278.912
-9.485,33.824,1.013,2.379,-45.696,73.004,0.708,-19.190,10769.400,2722075.648
-27.088,29.112,1.236,40.433,123.954,74.451,0.519,-37.350,21576.000,11940427.776
-24.404,-6.000,1.514,46.550,107.998,8.643,0.676,-80.123,22509.400,7471382.528
7.557,31.881,1.940,27.077,69.829,-57.509,0.202,-15.242,16828.600,5601350.144
48.395,-18.032,1.772,62.907,-44.627,58.279,1.172,60.647,22339.700,9451468.800
-8.286,54.303,1.765,24.068,7.677,56.782,1.711,-16.659,15990.500,6267707.392
56.550,-71.176,0.881,54.829,166.681,-71.729,1.082,82.486,22204.100,6695033.856
31.866,-77.662,0.248,36.320,-1.556,-77.339,0.053,43.125,18015.900,12390165.504
21.457,-15.643,0.986,-11.052,-139.090,69.767,0.291,57.187,16996.900,6715837.952
-36.656,-24.425,0.749,9.505,24.285,41.277,0.254,30.916,13767.300,7043440.128
33.373,-35.415,1.424,-50.535,70.988,-40.548,0.183,71.815,-23521.600,8599032.832
-33.068,-85.805,1.336,-48.471,-180.623,79.528,0.004,62.394,-21115.200,10452088.832
-12.344,-58.268,1.678,-78.363,-179.444,25.568,0.157,52.684,-30698.500,7866824.192
-13.799,-34.880,1.311,-20.147,-164.270,-51.302,0.427,45.049,-15353.700,7517554.688
-24.361,-17.234,1.601,48.399,-50.779,-70.662,0.669,-18.798,25886.100,9313591.296
20.279,19.613,0.604,-20.381,-129.561,-58.496,0.829,-65.129,-16883.400,7243706.880
11.550,-37.941,1.482,-23.219,47.152,-49.541,0.827,-34.609,-15764.000,8143868.416
-194.673,-48.009,0.628,83.150,-34.308,33.408,0.760,0.471,30509.600,2311180.032
14.517,53.659,1.597,-36.239,112.889,-57.248,0.021,-84.555,-20493.600,6750296.064
-10.063,-74.786,1.405,2.051,-9.211,77.673,1.536,13.801,11162.300,3103218.688
25.761,72.043,0.881,-4.756,-8.277,16.715,1.949,31.506,13919.100,6428075.520
-46.192,-43.321,1.955,70.069,192.055,25.040,0.626,-84.962,22841.500,4019686.656
-64.058,29.766,1.458,-62.505,-14.399,14.249,1.864,-42.620,-26177.300,10767909.888
