Amplitude1,PhaseShift1,Omega1,Beta1,Amplitude2,PhaseShift2,Omega2,Beta2,Buckling,Stiffness
-27.020,81.990,1.547,-67.821,-11.471,-88.867,1.819,-46.252,-27400.100,9911760.896
-105.858,10.626,1.229,-66.285,46.553,71.428,1.425,-88.932,-21715.100,4320928.768
27.737,86.686,0.846,0.788,21.945,36.015,1.620,47.379,14355.900,7372801.024
30.274,15.952,0.045,71.344,-21.664,66.764,1.892,-51.904,28274.200,8722557.952
24.711,50.576,1.637,49.445,-153.292,-25.191,1.117,-75.980,23190.100,8215303.168
45.788,-72.849,1.658,-62.266,44.083,14.365,0.168,-2.877,-31739.600,5428942.336
158.678,-79.168,0.534,-53.819,-10.387,-2.849,1.856,-35.157,-18639.100,11350212.608
53.384,-45.433,1.986,66.467,32.217,21.570,1.652,54.898,23797.400,9420576.768
-190.354,-88.288,0.271,15.735,7.805,-34.084,1.712,-17.246,-11671.000,3675366.912
81.146,70.195,0.663,-39.510,157.129,-73.231,0.016,22.207,-27916.000,9621600.256
-84.138,-28.073,0.484,54.591,61.479,-66.611,0.534,35.405,22089.200,11958323.200
-94.624,-23.460,1.375,-84.419,59.157,58.652,0.683,60.250,28748.800,6226936.832
-89.959,71.968,0.522,-31.348,88.390,39.117,0.614,-43.851,-15002.600,8784547.840
-99.072,80.677,0.552,-83.215,-20.606,43.161,1.724,-48.166,-30885.900,7252611.072
12.471,39.626,1.968,-42.641,33.608,-55.329,0.981,-33.550,-20746.600,11170275.328
98.985,-89.615,1.994,-73.695,6.150,43.995,1.935,17.899,-34639.400,5353208.832
-110.656,-49.132,0.699,51.992,141.759,31.373,0.153,76.210,21396.100,7236362.752
-173.679,24.232,0.025,-15.981,6.347,-86.297,1.770,-2.402,-12937.200,3576525.568
66.803,43.303,1.177,58.098,57.546,84.886,0.889,68.761,20854.200,8331171.328
14.431,66.961,1.201,10.384,9.229,-11.268,1.948,33.404,13498.200,6800640.000
-175.149,44.177,0.869,67.037,-17.734,-71.858,1.526,-39.765,32779.600,9481991.168
145.423,68.328,0.228,48.727,-14.110,51.822,1.465,30.603,23259.600,11332451.328
15.496,-46.999,0.575,18.419,34.745,-55.825,0.835,-43.294,-17069.000,9091896.320
