Amplitude,PhaseShift,Omega,Beta
-27.0201,81.9904,1.5469,-67.8211
-105.8578,10.6257,1.2293,-66.2848
27.7372,86.6859,0.8456,0.7883
30.2743,15.9518,0.0452,71.3439
24.7111,50.5762,1.6368,49.4448
45.7879,-72.8488,1.6583,-62.2656
158.6776,-79.1685,0.5341,-53.8193
53.3840,-45.4330,1.9857,66.4670
-190.3544,-88.2880,0.2706,15.7349
81.1461,70.1952,0.6629,-39.5098
-84.1383,-28.0730,0.4843,54.5909
-94.6241,-23.4598,1.3748,-84.4189
-89.9590,71.9679,0.5222,-31.3484
-99.0716,80.6766,0.5519,-83.2150
12.4709,39.6264,1.9675,-42.6408
98.9853,-89.6152,1.9940,-73.6952
-110.6565,-49.1324,0.6993,51.9918
-173.6790,24.2319,0.0247,-15.9808
66.8031,43.3027,1.1772,58.0979
14.4305,66.9610,1.2008,10.3839
-175.1490,44.1771,0.8687,67.0373
145.4235,68.3278,0.2279,48.7266
15.4965,-46.9993,0.5747,18.4195
174.1994,-18.8988,0.0637,-34.7605
-0.1672,-84.7909,0.2762,80.7046
19.7867,72.8618,1.0108,6.7497
-39.5745,6.7393,0.7180,8.5928
-5.5081,-38.3379,1.8976,-0.8548
-107.4472,-87.1992,0.0516,-55.7315
-6.7582,-25.4556,1.7607,-11.1262
-57.0273,31.0404,0.1986,-14.7074
-11.1307,88.5695,1.3441,-5.6544
-150.0418,-81.1231,0.9390,-68.9466
-152.3977,41.2289,1.0864,-79.0508
88.0697,4.7937,0.1923,19.5912
-40.9700,27.2102,0.7217,13.6327
9.4666,-79.8526,1.5060,13.0318
-63.8317,55.7102,0.6292,-28.5639
-142.6243,88.7775,1.5904,89.5531
-155.2940,-13.4753,0.3895,63.6210
96.2097,-6.4034,0.9248,57.5774
6.5535,-14.7028,1.8876,-19.0113
-18.4050,76.7682,1.3401,33.3421
-6.8515,-50.7941,1.7871,14.7467
7.5791,35.4347,0.1771,28.5771
42.9066,-40.6476,1.8675,62.8306
-7.7730,-47.4136,1.6136,-6.6923
-22.6843,-78.1446,1.2685,-36.5990
-22.3734,-81.9123,1.6523,-47.9259
-121.3874,33.5024,0.4373,-22.7298
62.9809,46.1361,0.5620,-3.1095
-58.3982,-89.1449,1.1654,60.2883
5.4531,0.7472,1.9077,1.4193
108.7004,70.9580,0.9516,60.6915
19.3214,1.8808,1.3608,-36.1609
-31.6177,-74.6411,1.2879,83.9663
-5.8939,0.0284,0.1679,40.7644
38.6342,27.9829,1.1065,43.8724
-14.3592,26.4390,0.2652,-61.6482
-17.6352,-61.2840,1.1881,22.8916
-81.6817,82.7183,0.4737,41.0894
-16.5825,-34.7942,1.2356,47.7300
-36.9062,-36.3705,1.5501,-55.4308
38.4222,53.4050,1.3028,-50.8103
-28.0118,34.8830,1.2521,41.7466
13.3680,24.6637,1.9584,-54.6052
130.4435,-64.8411,1.5265,77.7131
57.5807,40.3106,0.8274,-40.8980
-64.9269,69.3333,1.7712,-67.0313
61.8868,-56.4367,0.2247,-25.7888
-191.5060,23.2888,0.0217,-9.8220
16.6053,68.1209,1.6058,-40.4802
67.7246,13.7878,0.6550,-31.8273
126.9850,9.7873,0.9947,73.9453
-172.5043,-0.7166,0.3643,-72.8179
-187.9166,-8.4731,0.0734,-29.7443
