Amplitude,PhaseShift,Omega,Beta
20.0141,72.3084,0.3380,82.3946
74.3937,-71.1738,0.5552,-73.6064
80.8043,-28.0646,0.4666,-78.2284
21.4347,11.1129,0.9864,-10.7986
138.7704,74.0857,0.5866,-46.4426
15.3467,18.1156,1.3022,24.3781
153.9156,-10.8733,0.2045,-11.8531
91.0896,82.7135,0.2349,31.5366
-34.0579,67.3157,0.9119,29.0376
-42.0606,28.2246,0.6949,7.8749
-15.1654,-63.4886,1.7510,41.1563
-19.1947,-78.7665,1.1225,21.0059
81.6946,86.0512,1.8433,-79.7238
21.8477,22.3291,1.9510,-53.5490
-51.0226,-64.9525,0.6862,-22.2616
-28.6806,84.2468,0.2425,80.4427
32.7971,-61.1375,1.4680,51.5356
33.9671,73.7452,0.7641,-0.7665
163.8395,-25.7447,1.1024,-70.5458
-55.9479,0.8253,1.5053,61.2406
-54.8498,-13.5416,0.1160,83.6207
8.6277,-63.1902,1.5323,6.6792
-46.0668,-19.7507,1.1478,-49.4917
-36.9361,-38.8558,1.0367,-39.8544
-25.4681,19.3197,1.2502,-38.8627
171.6359,-83.4245,0.1478,23.3454
-22.1719,-47.0250,1.2360,-34.7467
29.2954,-65.7255,1.0711,51.1608
-9.0539,-14.6267,1.6167,-19.8804
24.6718,24.4995,0.9009,4.9184
10.5703,-57.4660,1.6276,27.4905
79.4661,-68.8269,0.2267,77.9535
64.0750,-42.9836,0.2246,-9.4805
-154.6207,-86.8970,0.4134,-27.7895
-3.2918,88.9530,1.1400,3.3173
13.4326,-23.7424,1.3386,-20.8945
-14.4313,-23.0448,1.9407,-44.7238
-128.2730,47.4403,0.9966,-81.3629
-192.4690,81.8935,0.0997,34.6462
-67.5563,-55.0956,0.2892,9.9631
-59.9011,-34.5763,0.7026,32.1755
5.6632,-51.7137,1.7749,-77.0589
54.8669,51.3821,0.7213,-30.5346
-16.8497,-56.1702,1.9552,-49.0367
-14.3035,-31.4261,0.0190,22.9120
-54.4928,26.9652,1.8010,64.8473
72.7001,48.3309,0.5409,14.2181
70.8894,-75.9084,0.5048,-17.7827
71.6829,-43.9007,0.6133,-28.9851
-23.4600,-47.4564,0.5125,60.1778
34.1516,-10.1924,1.8271,58.6893
-73.6447,89.3802,1.7681,75.5499
18.5604,77.8782,1.2840,-30.9773
107.1690,76.5087,1.5519,88.0747
-47.4992,33.9436,1.5552,59.6307
75.6239,43.0627,0.0285,-13.0708
138.1038,49.8671,0.9535,-75.8909
-9.2614,7.9075,1.8641,-32.3260
23.7303,-28.9731,1.7015,50.0545
49.1570,-49.4256,0.4464,20.2049
-77.1341,-30.4994,0.9350,74.4501
178.3987,-67.9912,0.4283,45.5241
-0.7633,-79.9234,0.7286,42.1222
6.7380,72.7412,1.7388,-7.8118
-179.3913,-77.5665,0.0064,-51.7365
-41.8415,15.3851,1.8722,62.0277
-107.3800,-50.7351,1.9990,74.8888
104.4859,26.4667,1.5776,71.7107
15.5811,-15.4318,1.3980,30.9180
52.1224,54.5455,1.3998,58.1329
10.1955,41.7990,1.7236,-29.8636
-108.0445,33.2570,1.6445,85.9456
-83.4240,84.4660,0.8334,-87.1944
-25.5041,-20.5672,1.0028,-24.6895
-8.1271,32.4244,1.5633,1.9165
-27.7322,78.6373,1.3741,-47.3321
-91.1863,75.7016,0.8034,-61.7009
-174.0337,31.2908,0.3688,-74.0317
-43.6839,4.5028,0.9239,38.6560
14.6807,39.8008,1.9618,-45.1723
17.3573,-33.0999,1.9915,-49.9858
39.9263,-53.6300,0.9462,37.0276
159.7670,12.3111,0.0479,5.8219
32.8879,-61.7749,0.1692,-62.3981
70.1893,-1.1915,0.2810,-59.3802
126.1778,21.1764,1.1514,84.4427
30.3119,-81.0205,0.8093,-1.8100
-12.8605,-18.9275,1.6350,33.6044
-10.0809,-16.8930,0.7038,-26.5725
10.8006,0.4023,1.8452,-35.2552
0.0084,53.8338,0.9709,66.2086
-63.3252,-4.3395,1.8773,67.7689
-100.8464,-82.4596,0.7417,-79.3260
36.9875,-31.6841,1.7959,-80.3428
-12.1560,-44.7565,1.7289,-35.9956
195.1084,-42.4143,1.1729,-74.6406
174.1220,60.9121,1.2658,-85.1079
-37.1493,12.7342,0.7893,-19.6093
90.9917,-6.0097,0.6700,43.7989
84.1625,-72.2276,0.9684,-56.4293
17.4199,64.8862,0.1042,-18.5346
6.9465,63.0952,1.6230,52.4932
-76.0828,46.6881,1.4598,-65.1412
114.9161,38.8596,1.1869,66.9573
85.3432,66.0717,0.0603,-71.1680
13.7630,-74.1184,1.2773,16.3441
83.7865,44.1231,1.9073,-72.0262
-7.2682,87.6361,1.6612,5.0305
-184.4729,59.6892,1.3814,-86.6083
-9.8520,45.2265,1.5195,-16.9129
93.1148,9.6099,1.1602,-63.1406
6.7452,-63.9993,1.8581,18.8413
19.5188,-8.5362,1.9186,-51.1256
-43.6286,5.3678,0.0723,72.5153
51.8780,-16.5483,0.4831,-24.2369
199.6068,-3.1118,0.2858,80.8818
26.4262,-15.8980,1.3314,-42.6693
57.1212,29.2278,0.6406,-23.2726
-12.7586,-50.2986,1.5289,-32.3857
-45.0899,60.0522,0.1728,37.8255
42.4825,-9.3372,1.4249,-55.0686
-37.6046,-45.3673,0.4583,2.3825
-64.3478,-76.1609,0.3767,8.4976
-23.4191,11.9204,0.9377,9.5500
197.5516,88.1471,0.1282,-38.4879
161.0757,-66.7498,1.7585,-88.0763
-9.5279,-60.0075,1.4509,-5.1292
-8.8554,81.4996,0.4975,26.6962
102.5064,-46.4033,1.7489,72.0880
-14.8134,19.8195,1.5142,-33.2620
186.4327,52.1881,0.3199,63.6300
-25.9821,9.0808,0.9182,15.5396
13.8546,-19.2164,1.1967,1.2065
3.7979,6.5495,0.5647,-11.9677
105.5291,-88.1560,0.2522,83.8507
10.4679,-53.3775,1.5947,24.9132
