Theta1,Theta2,Theta3,Theta4,Theta5,Theta6,Theta7,Theta8,Theta9,Theta10,Theta11,Theta12,Theta13,Theta14,Theta15,Theta16,Theta17,Theta18,Theta19,Theta20,Theta21,Theta22,Theta23,Theta24,Theta25,Theta26,Theta27,Theta28,Theta29,Theta30,Theta31,Theta32,Theta33,Theta34,Theta35,Theta36,Theta37,Theta38,Theta39,Theta40,Theta41,Theta42,Theta43,Theta44,Theta45,Theta46,Theta47,Theta48,Theta49,Theta50,Theta51,Theta52,Theta53,Theta54,Theta55,Theta56,Theta57,Theta58,Theta59,Theta60,Theta61,Theta62,Theta63,Theta64,Theta65,Theta66,Theta67,Theta68,Theta69,Theta70
3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80,3.80
-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72,-22.72
-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76,-41.76
8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96,8.96
-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98,-54.98
24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19,24.19
84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93,84.93
31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98,31.98
-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71,-19.71
77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09,77.09
