Amplitude,PhaseShift,Omega,Beta
5.3360,25.9330,0.0826,-2.5050
-104.0311,89.5470,0.6151,67.8745
-54.1276,30.5844,0.1872,-72.4431
-134.0599,-59.0451,1.1720,-69.5164
7.7936,87.3212,1.9036,-27.7520
-130.0890,62.2214,1.1294,79.3463
-39.7558,36.2307,1.7774,78.4397
-35.5476,-76.6189,1.6551,-75.9577
-44.9856,-0.5971,0.0325,-61.3884
15.0068,20.8956,1.2769,-21.4068
-21.3914,-85.5586,0.1506,72.8999
104.3146,-62.5874,0.3674,32.6583
-117.3362,46.1718,0.3361,60.7023
-121.4135,-35.8976,1.7282,-73.9702
47.5464,52.1134,1.0358,-46.4423
56.0570,80.2662,0.5561,77.0252
30.2330,23.8649,1.1518,39.7896
31.6653,-50.6902,0.4457,45.4839
-27.7507,3.1756,0.9278,-33.0087
-37.1976,-12.6729,1.4428,-52.9313
-98.8638,31.8619,1.0186,-71.3654
-8.2040,-33.1613,1.7821,-24.5237
-38.3489,67.4651,0.7555,-15.8476
188.9720,-87.7335,0.1098,74.7123
-7.3686,-71.5971,1.6700,8.9026
19.9192,11.2887,1.0002,3.4111
165.9099,-9.2713,0.2315,82.5853
195.4035,48.4362,1.2935,-79.8686
-47.5301,82.6019,0.8558,37.0446
58.6312,41.9186,0.8361,-41.9128
-55.3373,-59.9296,1.3956,59.4782
25.2270,-28.9327,0.9746,-20.9935
-8.8881,-86.9235,1.7475,-26.2720
-25.9622,-20.6589,0.9154,14.6720
118.8955,71.4010,1.8769,-85.3958
-134.5514,60.4996,1.7057,84.2462
11.3147,-27.4529,1.3407,-7.3543
-136.3049,69.7866,0.4881,-38.9496
183.7155,-67.7645,0.6484,64.0936
8.8074,44.6580,1.6081,-17.1914
-167.9403,-43.2222,0.0032,85.1962
28.2742,58.8482,1.2573,-44.3675
-51.4102,-56.4610,0.6349,-29.0832
-101.9571,-4.5805,0.2489,69.1286
13.4439,6.2898,1.2145,0.7727
61.3712,84.3025,0.5714,5.4674
-159.9571,14.5762,1.5501,89.5533
19.0090,-88.7755,1.3653,35.8655
9.1830,13.8707,0.2556,38.6004
59.0309,-61.7179,0.5009,-11.6027
48.9442,-11.0491,0.9600,43.5890
-9.1064,39.6181,1.0561,57.9240
-11.4427,-73.8710,1.1934,-50.7676
37.2677,-50.5086,0.3839,53.7929
-13.7500,87.0516,1.4671,-43.2533
33.7679,10.4576,0.9943,34.9573
6.9791,-74.8090,1.6855,-0.1562
-19.3550,33.5306,1.2360,29.3711
9.9680,-23.0029,1.4936,16.0776
61.4161,-34.3909,0.4652,-80.2070
127.1495,0.3728,0.0276,-8.6547
15.0286,56.1682,1.2273,17.3754
83.9818,-41.0516,0.4114,-67.6229
-68.8712,-17.7914,0.7695,-87.8647
114.7006,-77.6538,1.9145,-74.6399
48.5718,8.9598,1.9259,65.1754
-17.2489,-69.4241,1.1705,-19.6026
20.8404,-1.6291,1.9439,-67.4501
141.6771,-72.3565,0.3060,-64.1924
-49.1496,-64.9742,1.0970,-49.6957
42.1289,21.8327,1.3096,52.2811
-12.4831,59.6895,1.4160,22.9010
-66.8625,7.2809,0.1995,-57.0282
39.3222,64.7060,1.4779,-88.7082
9.5920,34.6680,1.9619,-36.2224
26.3978,73.4691,0.2049,-59.1172
22.1301,-24.4669,1.8438,61.9898
-93.4842,78.2419,0.8906,-86.1491
-118.7964,-47.8615,0.0963,47.5519
88.4343,27.7973,0.7457,-83.5596
-22.6233,-53.7168,1.5412,55.5072
-13.0289,25.2657,1.5703,31.4835
39.5976,-26.2942,0.8265,27.3680
-28.4581,-46.2895,0.9422,24.0987
10.1732,57.3990,1.8676,-33.9014
-45.8570,-82.5949,1.7614,-61.9604
-145.1676,84.6680,0.5339,-54.5759
7.2110,51.8980,1.7019,10.4706
-62.6901,2.5393,0.6039,19.7149
11.1599,16.8207,0.6681,-4.0415
64.0144,-3.8873,0.5166,29.8077
41.4269,5.6110,1.5163,56.5346
8.0360,-39.6418,1.6171,11.3557
-199.3063,-21.6492,0.8877,-82.6121
-20.4590,-11.3480,1.8399,50.5853
33.8727,79.3108,1.4300,51.5706
108.0813,-38.0180,1.7998,86.9163
-69.3522,28.2619,0.7053,-37.8176
-24.8884,50.1415,1.1221,-32.0468
102.3694,-56.2213,0.1699,-77.9377
80.8845,17.3655,0.6960,42.0680
33.4942,-83.9586,0.8061,-15.2322
95.0674,43.4509,0.8736,88.1707
-0.4808,-5.6792,0.7343,-29.5404
-10.6906,-64.3440,1.9844,-39.4949
-6.4749,-7.3979,1.9756,-23.0403
147.5360,-79.8913,0.0606,-13.8073
-81.4280,-52.4490,1.0803,-58.9063
-88.0792,18.3179,0.3915,66.7247
-10.8316,37.2451,1.3590,-4.5017
-42.6633,-81.3598,0.4282,-6.3323
-18.3257,75.0344,1.0673,-10.9796
-61.3583,76.4387,1.3790,70.8843
-46.3460,-67.3675,0.6785,13.8241
-5.6155,-29.8848,1.5827,26.3271
2.2311,67.5198,0.3572,19.6854
143.9119,-43.8605,1.5130,73.8205
18.0535,-14.5636,0.4807,-55.6715
-29.2454,53.9182,0.2937,6.1174
135.2194,-31.2342,0.0723,-46.0948
66.4810,47.2434,0.5935,21.5100
-165.6181,64.2381,0.7838,-65.8284
-34.9827,-37.0414,1.3183,49.1560
18.9677,72.0110,1.6285,44.3174
-172.8130,-19.6694,0.2664,-48.1513
71.1394,-46.8259,0.3257,7.3308
-58.9551,38.0551,0.1254,2.2981
-87.3131,-16.6504,1.8217,80.8830
