Amplitude,PhaseShift,Omega,Beta
0.7308,53.9350,0.2873,60.1392
-21.3862,52.8238,1.9199,-52.3537
-25.1899,-47.9133,1.4340,-44.6058
-15.7495,-44.0596,1.1229,1.9509
55.0097,-62.3971,1.8034,65.1632
17.1920,-31.0086,1.7158,-44.2903
16.9432,-82.9301,1.5677,-39.0007
7.4445,-28.7827,1.7630,17.6887
-5.7562,-43.8571,0.1948,-22.4680
15.3581,33.3881,0.9792,13.1279
80.6255,-69.8073,1.2873,-87.2094
43.7777,4.9034,1.4972,-88.2574
7.1480,25.5546,1.6712,5.4715
84.4883,-3.0564,0.1997,28.1451
48.9951,7.1817,0.7530,29.2692
10.3954,-63.5179,1.6574,-27.2948
-42.9326,40.2820,0.1413,-73.3585
74.8911,-80.6402,0.5231,9.8255
35.0425,49.5334,0.8610,25.6541
18.5360,86.6119,1.1090,-17.7046
78.1985,-58.7034,0.8068,48.1994
41.9005,-9.9024,1.0185,-42.1877
-8.7891,-24.0413,1.8803,-31.1684
-25.5918,-49.2365,0.8804,0.9688
-37.2030,81.8977,0.4080,72.7860
65.3600,23.3947,0.5741,58.4639
-60.4483,31.2323,1.3411,89.7496
49.1071,63.6894,0.8580,38.1069
42.3480,-57.4261,1.2932,-88.7353
-87.0386,27.5370,0.6019,-35.7902
-2.0411,37.2569,1.1456,-9.8400
96.5282,-13.0168,0.3950,72.2070
83.0245,-29.4798,0.4957,-86.6075
9.2873,-45.3583,1.7661,-28.3289
8.2750,64.9021,1.6066,12.9037
-136.4806,67.0409,1.1809,76.0292
-17.1165,23.0018,1.3644,-32.5184
125.8238,-33.3556,1.7512,-82.7878
-73.6939,-12.4496,0.1891,-68.5179
26.1413,37.4273,1.4321,-46.1386
-49.7435,79.0017,0.8096,35.7735
27.9484,-46.2898,0.9509,23.8044
11.5492,-31.3949,1.3175,4.8734
-25.1108,41.8833,1.0490,-27.8734
-6.8712,87.1333,1.7066,-4.5493
-4.9744,-57.1318,1.9988,-2.3135
100.7492,84.2386,0.2369,-75.3020
82.6376,-41.6304,0.4007,-11.0691
-155.3282,54.4575,0.3315,59.8439
-98.9650,78.0622,1.3388,-67.2855
8.5710,-35.8752,1.6151,16.0284
65.8015,21.3226,1.1365,75.2200
-12.9202,-39.9066,1.4587,26.4246
-40.9160,60.1100,0.4344,87.6737
54.4053,85.2236,1.3246,-61.1903
99.2585,84.5327,0.3275,-89.2274
8.4057,67.3731,1.5359,0.5485
181.0293,-52.4751,0.7214,86.1137
34.3139,-28.0211,1.1177,-41.4572
159.7632,26.5157,1.9960,78.2430
146.9721,-8.5691,0.6531,81.9707
-20.8986,87.6106,1.4859,41.7242
-7.1583,-59.0365,1.8357,20.7168
-23.3774,43.0610,1.4520,44.1176
-20.3020,18.8248,1.8185,-80.6017
187.8246,-70.8048,0.9581,87.2850
-153.7236,-85.3624,1.1109,76.5866
20.3485,-0.7152,1.2552,-83.7089
-51.1465,46.6465,0.3535,-74.9334
-151.2323,-67.4867,1.0522,-86.0436
2.1574,75.1582,1.1496,-16.6258
55.1255,2.0341,0.7168,30.1538
188.3098,-82.3206,0.4871,-49.9110
20.0733,22.6630,1.5237,-81.4089
-163.3236,78.0003,1.4533,79.0547
29.0421,-58.0594,1.2412,42.4954
16.6349,-39.0718,0.8534,-65.4490
17.4589,24.4183,1.2593,27.0247
-7.3091,60.4846,1.8679,-23.5142
-49.1101,-32.8840,1.0776,48.5898
5.1546,-13.8437,1.9733,5.2351
-81.7984,-75.2625,0.6076,35.1201
-180.2649,-68.4997,0.3761,-83.0504
14.2153,-5.9638,1.5773,-34.4856
31.3377,-31.7805,1.7476,-85.6537
11.7568,35.4617,1.6296,30.9533
-26.0946,41.1177,1.7396,52.2323
141.1908,-59.5722,0.0756,9.3483
-99.3958,29.6893,0.8261,54.6464
95.0412,0.4009,1.0000,-77.3698
10.4398,9.7770,1.5893,-24.6178
-8.3756,17.2131,1.6270,-15.3530
133.3006,64.2340,0.7268,56.8217
143.7094,69.5106,0.2275,-40.7036
-20.6612,-34.4565,0.3655,85.1091
11.5241,8.5461,1.7335,50.0783
185.8387,54.5079,0.2108,-45.4274
-58.5027,34.6900,1.5416,77.8734
8.4916,-10.9395,1.5571,-8.8570
-21.1910,52.4486,0.0993,-60.9136
10.7606,-42.6031,1.3996,-11.7665
191.5561,-25.1868,0.1488,-42.8287
-50.7629,45.5977,1.9123,-79.1082
195.6723,-21.7359,1.3849,-75.8241
79.6818,25.1347,0.6219,34.6313
8.5587,75.9661,1.3106,-41.6251
-38.3345,-54.9312,0.9720,43.5615
69.1524,-62.2156,0.7100,-38.1836
-45.6848,-62.6498,1.8535,-63.2995
17.9391,-41.1404,1.9518,76.6756
-31.6758,-4.6617,0.8029,-56.6782
-132.7401,-74.4144,0.5585,-45.9880
-37.0222,22.4436,0.9896,-37.6267
-115.8089,64.6139,1.3824,86.9649
174.1919,-68.7068,0.7445,-62.8890
5.2529,14.1177,1.9022,13.4410
14.7662,-21.9320,1.2747,-20.6367
-22.7480,50.4860,1.8159,-84.3452
117.1309,17.9298,0.4137,-6.1434
-45.5475,-87.3955,0.1140,-50.8696
-31.1648,-50.7934,1.9876,-58.8494
-7.5949,-80.1127,0.5647,-67.7330
48.8624,61.9467,0.6953,21.2646
-63.4356,-48.2017,0.8292,-43.7897
-15.7780,45.1713,1.8834,46.3373
-40.1745,-78.0120,0.7365,-15.4881
63.6538,-28.2488,1.0806,54.2431
-7.2596,18.3355,1.7077,11.9615
-33.0360,73.1248,1.0726,-38.4841
-73.4015,72.5191,0.0319,46.5653
95.6751,-66.6403,0.0294,62.7986
40.5033,-23.3486,0.7559,-19.6715
38.2002,55.0024,1.7741,-59.8721
-142.2930,-33.7442,0.4777,-39.1771
-77.1020,6.4919,1.8218,-69.7580
30.3397,-6.0185,1.9624,58.9358
-80.9331,39.6845,0.0579,-17.4820
28.6978,26.2276,1.2270,-41.0948
-28.4945,-2.6901,1.5523,-78.1424
12.2633,-51.6416,1.0314,-87.8316
-12.9003,-24.3856,0.1201,-34.1533
10.5692,41.7916,1.5347,21.7087
23.1888,-36.6520,0.9264,2.9135
-30.0605,-78.3026,0.9929,37.5267
-7.2431,-72.4619,1.7991,-19.0041
-35.6773,89.7562,1.2152,-46.5547
-40.8689,88.5894,1.0647,43.8823
-7.2146,62.3231,1.6816,-8.0273
-16.5149,44.7131,0.4449,-39.6853
-44.5604,-11.5195,0.8366,37.0273
124.4315,32.0102,0.8427,67.0632
-46.1317,-84.0723,1.2639,77.6059
-29.5665,-84.5842,0.8722,17.5216
-101.0007,-83.1043,0.3590,-29.9318
-27.6509,-65.4339,0.0258,4.0330
-70.7205,82.8116,0.5097,75.4970
19.4966,24.6676,1.3045,33.3048
56.8149,-67.8955,0.8634,42.6752
-44.0070,-37.5810,0.3112,6.7023
-120.6596,80.8446,0.4147,-12.4271
-158.4074,87.1965,0.4036,24.4944
-13.1623,29.9038,1.8086,39.2167
-34.9545,-44.9858,0.9173,-30.7115
129.4568,-70.3971,0.0693,-51.7347
-104.2026,-35.3422,0.1987,67.7076
